    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 5199,       6668046,         6662859,          11850,     97289,       18856,        668,   13512201,      6662859,       32772,   112569,      59683,       605
 5200,       6672839,         6667651,          10825,    102770,       18879,        733,   13517400,      6667651,       33893,   112682,      59787,       527
 5201,       6674639,         6669450,           9906,    102759,       18526,        680,   13522600,      6669450,       30603,   112666,      59763,       510
 5202,       6676426,         6671236,          10175,     93913,       18915,        510,   13527801,      6671236,       31223,   112660,      59731,       505
 5203,       6681134,         6675943,           9636,     98999,       18797,        702,   13533003,      6675943,       31194,   112736,      59757,       567
 5204,       6682386,         6677194,          12561,     99020,       18819,        531,   13538206,      6677194,       28985,   112739,      59809,       543
 5205,       6685728,         6680535,          10169,    100125,       18740,        527,   13543410,      6680535,       32686,   112781,      59794,       526
 5206,       6687592,         6682398,          10338,     97288,       18785,        606,   13548615,      6682398,       32322,   112722,      59746,       569
 5207,       6687748,         6682553,          11511,     97888,       18810,        568,   13553821,      6682553,       33104,   112735,      59739,       590
 5208,       6690937,         6685741,          11048,    108150,       18562,        608,   13559028,      6685741,       31689,   112831,      59850,       553
 5209,       6693084,         6687887,          11342,    104056,       18657,        520,   13564236,      6687887,       33743,   112810,      59816,       519
 5210,       6697364,         6692166,          10172,     99338,       18803,        556,   13569445,      6692166,       34970,   112863,      59851,       578
 5211,       6698445,         6693246,          10383,     98871,       18677,        756,   13574655,      6693246,       29617,   112865,      59883,       479
 5212,       6698525,         6693325,           9281,    100582,       18874,        596,   13579866,      6693325,       27609,   112904,      59897,       450
 5213,       6701951,         6696750,           9285,     99944,       18775,        462,   13585078,      6696750,       28218,   112914,      59880,       453
 5214,       6707083,         6701881,           8820,     96271,       18844,        517,   13590291,      6701881,       28658,   112944,      59880,       560
 5215,       6711877,         6706674,           9689,    102494,       18524,        493,   13595505,      6706674,       28029,   112987,      59918,       518
 5216,       6713519,         6708315,           8571,     98539,       18799,        526,   13600720,      6708315,       28975,   112974,      59949,       474
 5217,       6717242,         6712037,           8670,     96569,       18917,        588,   13605936,      6712037,       26235,   113052,      59949,       498
 5218,       6717738,         6712532,           8643,     99249,       18769,        464,   13611153,      6712532,       28981,   113103,      59966,       492
 5219,       6720857,         6715650,          10787,    100130,       18695,        587,   13616371,      6715650,       29954,   113135,      60018,       620
 5220,       6724607,         6719399,           8943,     99385,       18737,        502,   13621590,      6719399,       28570,   113178,      60003,       472
 5221,       6724956,         6719747,           9136,    103503,       18635,        537,   13626810,      6719747,       29117,   113215,      60048,       541
 5222,       6725117,         6719907,           9702,     98237,       18816,        465,   13632031,      6719907,       28305,   113253,      60054,       464
 5223,       6726157,         6720946,           8746,    106732,       18471,        459,   13637253,      6720946,       27417,   113188,      60027,       452
