  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 79,          1814,            1740,            104,       634,         178,         15,       3081,         1740,         195,      753,        427,        10
 80,          1819,            1744,            102,       621,         184,         15,       3160,         1744,         123,      760,        435,        10
 81,          1859,            1783,            106,       765,         179,         17,       3240,         1783,         100,      777,        440,        11
 82,          1882,            1805,            103,       698,         184,         13,       3321,         1805,          67,      791,        452,        10
 83,          1933,            1855,            121,       688,         198,         17,       3403,         1855,          55,      798,        450,        11
 84,          1938,            1859,            111,       667,         185,         29,       3486,         1859,          55,      809,        462,        10
 85,          1983,            1903,            109,       767,         190,         17,       3570,         1903,          51,      827,        474,        11
 86,          2010,            1929,            116,       702,         205,         20,       3655,         1929,          57,      835,        472,        11
 87,          2055,            1973,            120,       801,         197,         17,       3741,         1973,          60,      858,        486,        11
 88,          2094,            2011,            112,       739,         207,         18,       3828,         2011,          61,      862,        494,        10
 89,          2130,            2046,            137,       734,         204,         17,       3916,         2046,          63,      877,        497,        14
 90,          2185,            2100,            129,       867,         201,         41,       4005,         2100,         139,      892,        509,        12
 91,          2198,            2112,            143,       752,         214,         24,       4095,         2112,          77,      906,        513,        12
 92,          2212,            2125,            130,       817,         219,         17,       4186,         2125,          59,      919,        522,        12
 93,          2255,            2167,            129,       811,         211,         56,       4278,         2167,          69,      925,        524,        12
 94,          2295,            2206,            130,       792,         216,         10,       4371,         2206,          40,      942,        531,         8
 95,          2303,            2213,             80,       881,         221,         10,       4465,         2213,          40,      958,        540,         8
 96,          2379,            2288,             83,       968,         216,         12,       4560,         2288,          41,      969,        547,         9
 97,          2421,            2329,             84,      1020,         220,         56,       4656,         2329,          73,      985,        558,        18
 98,          2517,            2424,             88,       825,         234,          6,       4753,         2424,          44,      997,        565,         8
 99,          2602,            2508,             91,       881,         240,          6,       4851,         2508,          43,     1011,        571,         8
100,          2664,            2569,             92,       894,         232,          6,       4950,         2569,          45,     1019,        578,         8
