     n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
   600,         90566,           89976,            118,      8400,        1715,         47,     179700,        89976,         324,     9258,       5039,        45
   601,         90784,           90193,            119,      7669,        1768,         47,     180300,        90193,         324,     9286,       5048,        46
   602,         90963,           90371,            118,      8322,        1707,         47,     180901,        90371,         325,     9314,       5074,        46
   603,         91080,           90487,            118,      9107,        1694,         47,     181503,        90487,         386,     9313,       5072,        56
   604,         91512,           90918,            160,      8800,        1711,         60,     182106,        90918,         364,     9328,       5059,        43
   605,         92066,           91471,            121,      7728,        1756,         65,     182710,        91471,         426,     9354,       5092,        56
   606,         92627,           92031,            168,      8069,        1729,         62,     183315,        92031,         427,     9367,       5096,        56
   607,         93151,           92554,            183,      8406,        1750,         62,     183921,        92554,         426,     9398,       5111,        57
   608,         93543,           92945,            164,      8054,        1767,         64,     184528,        92945,         461,     9433,       5132,        59
   609,         93976,           93377,            181,      8613,        1753,         66,     185136,        93377,         492,     9418,       5118,        62
   610,         94071,           93471,            185,      8321,        1750,         67,     185745,        93471,         466,     9423,       5118,        47
   611,         94466,           93865,            129,      8002,        1735,         50,     186355,        93865,         410,     9486,       5168,        61
   612,         95068,           94466,            176,      8467,        1774,         67,     186966,        94466,         428,     9497,       5177,        47
   613,         95360,           94757,            130,      8686,        1763,         54,     187578,        94757,         423,     9495,       5172,        59
   614,         95913,           95309,            253,      8029,        1788,         65,     188191,        95309,         552,     9508,       5172,        56
   615,         96527,           95922,            191,      8361,        1782,         65,     188805,        95922,         478,     9538,       5185,        60
   616,         96557,           95951,            179,      8136,        1797,         64,     189420,        95951,         505,     9532,       5192,        58
   617,         96963,           96356,            186,      9205,        1750,       1085,     190036,        96356,         477,     9560,       5195,       203
   618,         97447,           96839,            176,      8003,        1795,         63,     190653,        96839,         523,     9576,       5222,        61
   619,         97866,           97257,            173,      8580,        1759,         60,     191271,        97257,         455,     9620,       5222,        50
   620,         97945,           97335,            151,      7918,        1814,         57,     191890,        97335,         473,     9634,       5240,        52
   621,         98515,           97904,            145,      7971,        1841,         80,     192510,        97904,         388,     9647,       5249,        91
   622,         99057,           98445,            133,      8136,        1809,         48,     193131,        98445,         340,     9653,       5254,        44
   623,         99128,           98515,            128,      8509,        1808,         48,     193753,        98515,         367,     9681,       5254,        43
   624,         99154,           98540,            124,      8834,        1784,         47,     194376,        98540,         330,     9702,       5279,        43
   625,         99670,           99055,            146,      8180,        1803,         48,     195000,        99055,         353,     9727,       5292,        44
   626,         99941,           99325,            142,      8878,        1807,         47,     195625,        99325,         355,     9740,       5284,        45
   627,        100472,           99855,            159,      8981,        1803,         89,     196251,        99855,         401,     9735,       5302,        61
   628,        100719,          100101,            126,      8018,        1843,         47,     196878,       100101,         333,     9771,       5308,        63
   629,        101089,          100470,            166,      8699,        1800,         49,     197506,       100470,         347,     9775,       5309,        45
   630,        101400,          100780,            130,      8417,        1865,         49,     198135,       100780,         357,     9797,       5317,        47
   631,        101928,          101307,            131,      8933,        1827,         51,     198765,       101307,         432,     9824,       5336,        61
   632,        101991,          101369,            181,      8467,        1826,        154,     199396,       101369,         572,     9845,       5366,        67
   633,        102226,          101603,            131,      8534,        1837,         49,     200028,       101603,         401,     9873,       5368,        66
   634,        102322,          101698,            166,      8364,        1860,         50,     200661,       101698,         351,     9890,       5379,        47
   635,        102463,          101838,            132,      8522,        1831,         49,     201295,       101838,         355,     9895,       5379,        46
   636,        103034,          102408,            133,      8386,        1863,         49,     201930,       102408,         352,     9923,       5401,        46
   637,        103193,          102566,            167,      8802,        1833,         50,     202566,       102566,         350,     9931,       5415,        45
   638,        103370,          102742,            133,      8526,        1867,         49,     203203,       102742,         381,     9953,       5411,        46
   639,        103849,          103220,            149,      9126,        1839,         50,     203841,       103220,         345,     9976,       5435,        45
   640,        104458,          103828,            131,      9086,        1858,         48,     204480,       103828,         345,    10017,       5449,        45
   641,        104814,          104183,            131,      8706,        1870,         48,     205120,       104183,         350,    10009,       5430,        44
   642,        104856,          104224,            131,      9128,        1890,         48,     205761,       104224,         349,    10048,       5469,        44
   643,        105097,          104464,            157,      8763,        1857,         58,     206403,       104464,         474,    10049,       5467,        59
   644,        105457,          104823,            142,      8270,        1915,         57,     207046,       104823,         443,    10056,       5484,        47
   645,        106036,          105401,            154,      8687,        1875,         50,     207690,       105401,         440,    10096,       5490,        46
   646,        106510,          105874,            133,      8695,        1871,         49,     208335,       105874,         383,    10094,       5475,        46
   647,        106658,          106021,            137,      8518,        1915,         50,     208981,       106021,         362,    10133,       5496,        46
   648,        106972,          106334,            138,      9435,        1844,         49,     209628,       106334,         413,    10145,       5507,        57
   649,        107509,          106870,            193,      9631,        1865,         65,     210276,       106870,         581,    10154,       5517,        47
   650,        107665,          107025,            138,      8676,        1892,         51,     210925,       107025,         560,    10174,       5538,        47
   651,        107883,          107242,            138,      9159,        1867,         52,     211575,       107242,         367,    10194,       5555,        47
   652,        108487,          107845,            141,      9007,        1884,         74,     212226,       107845,         400,    10195,       5540,        58
   653,        109016,          108373,            189,      9648,        1905,         67,     212878,       108373,         396,    10216,       5544,        47
   654,        109240,          108596,            140,      8860,        1919,         51,     213531,       108596,         461,    10238,       5571,        58
   655,        109877,          109232,            200,      8464,        1940,         66,     214185,       109232,         477,    10260,       5585,        58
   656,        110186,          109540,            184,      9211,        1863,         58,     214840,       109540,         411,    10275,       5581,        57
   657,        110392,          109745,            144,      8422,        1915,         50,     215496,       109745,         548,    10309,       5596,        47
